customer_id,age,gender,location,total_spent,purchase_amount_usd,previous_purchases,frequency_of_purchases,payment_method,category,item_purchased,season,size,color,shipping_type,value_tier,promo_dependency_score,loyalty_type,satisfaction_flag,repeat_buyer_segment,is_subscriber,discount_flag,promo_flag,discount_applied,promo_code_used,review_rating,subscription_status,city_opportunity,city_avg_spend,city_promo_pct,category_type,cat_avg_spend,cat_promo_pct
12,30,Male,Hawaii,68,68,10,Fortnightly,Bank Transfer,Clothing,Shorts,Winter,S,Olive,Store Pickup,Gold,1.0,Discount Dependent,High,Low,1,1,1,Yes,Yes,4.9,Yes,Low Priority,57.72,0.49,Entry Category,60.03,0.42
13,61,Male,Delaware,72,72,37,Fortnightly,Venmo,Outerwear,Coat,Winter,M,Gold,Express,Gold,1.0,Discount Dependent,High,Medium,1,1,1,Yes,Yes,4.5,Yes,Low Priority,55.33,0.45,Entry Category,57.17,0.44
14,65,Male,New Hampshire,51,51,31,Weekly,Paypal,Clothing,Dress,Spring,M,Violet,Express,Silver,1.0,Discount Dependent,High,Medium,1,1,1,Yes,Yes,4.7,Yes,Low Priority,59.42,0.44,Entry Category,60.03,0.42
15,64,Male,New York,53,53,34,Weekly,Debit Card,Outerwear,Coat,Winter,L,Teal,Free Shipping,Silver,1.0,Discount Dependent,High,Medium,1,1,1,Yes,Yes,4.7,Yes,Golden Market,60.43,0.41,Entry Category,57.17,0.44
16,64,Male,Rhode Island,81,81,8,Monthly,Paypal,Clothing,Skirt,Winter,M,Teal,Store Pickup,Gold,1.0,Discount Dependent,Low,Low,1,1,1,Yes,Yes,2.8,Yes,Golden Market,61.44,0.4,Entry Category,60.03,0.42
17,25,Male,Alabama,36,36,44,Bi-Weekly,Debit Card,Accessories,Sunglasses,Spring,S,Gray,Next Day Air,Bronze,1.0,Discount Dependent,High,High,1,1,1,Yes,Yes,4.1,Yes,Growth Market,59.11,0.4,Retention Category,59.84,0.44
18,53,Male,Mississippi,38,38,36,Quarterly,Venmo,Clothing,Dress,Winter,XL,Lavender,2-Day Shipping,Bronze,1.0,Discount Dependent,High,Medium,1,1,1,Yes,Yes,4.7,Yes,Promo Market,61.04,0.48,Entry Category,60.03,0.42
19,52,Male,Montana,48,48,17,Weekly,Cash,Clothing,Sweater,Summer,S,Black,Free Shipping,Silver,1.0,Discount Dependent,High,Medium,1,1,1,Yes,Yes,4.6,Yes,Golden Market,60.25,0.38,Entry Category,60.03,0.42
20,66,Male,Rhode Island,90,90,46,Bi-Weekly,Debit Card,Clothing,Pants,Summer,M,Green,Standard,Platinum,1.0,Discount Dependent,Low,High,1,1,1,Yes,Yes,3.3,Yes,Golden Market,61.44,0.4,Entry Category,60.03,0.42
21,21,Male,Louisiana,51,51,50,Every 3 Months,Cash,Clothing,Pants,Winter,M,Black,Express,Silver,1.0,Discount Dependent,Low,High,1,1,1,Yes,Yes,2.8,Yes,Growth Market,57.71,0.42,Entry Category,60.03,0.42
22,31,Male,North Carolina,62,62,22,Quarterly,Debit Card,Clothing,Pants,Winter,M,Charcoal,Store Pickup,Gold,1.0,Discount Dependent,High,Medium,1,1,1,Yes,Yes,4.1,Yes,Promo Market,60.79,0.45,Entry Category,60.03,0.42
23,56,Male,California,37,37,32,Annually,Debit Card,Clothing,Pants,Summer,M,Peach,Store Pickup,Bronze,1.0,Discount Dependent,Low,Medium,1,1,1,Yes,Yes,3.2,Yes,Growth Market,59.0,0.42,Entry Category,60.03,0.42
24,31,Male,Oklahoma,88,88,40,Weekly,Credit Card,Clothing,Pants,Winter,XL,White,Express,Platinum,1.0,Discount Dependent,High,High,1,1,1,Yes,Yes,4.4,Yes,Low Priority,58.35,0.48,Entry Category,60.03,0.42
25,18,Male,Florida,22,22,16,Weekly,Debit Card,Outerwear,Jacket,Fall,M,Green,Store Pickup,Bronze,1.0,Discount Dependent,Low,Medium,1,1,1,Yes,Yes,2.9,Yes,Low Priority,55.85,0.46,Entry Category,57.17,0.44
26,18,Male,Texas,25,25,14,Annually,Paypal,Clothing,Hoodie,Summer,M,Silver,Express,Bronze,1.0,Discount Dependent,Low,Medium,1,1,1,Yes,Yes,3.6,Yes,Golden Market,61.19,0.36,Entry Category,60.03,0.42
27,38,Male,Nevada,20,20,13,Annually,Credit Card,Accessories,Jewelry,Spring,M,Red,Next Day Air,Bronze,1.0,Discount Dependent,Low,Low,1,1,1,Yes,Yes,3.6,Yes,Promo Market,63.38,0.47,Retention Category,59.84,0.44
28,56,Male,Kentucky,56,56,7,Every 3 Months,Bank Transfer,Clothing,Shorts,Summer,L,Cyan,Next Day Air,Silver,1.0,Discount Dependent,High,Low,1,1,1,Yes,Yes,5.0,Yes,Low Priority,55.72,0.43,Entry Category,60.03,0.42
29,54,Male,North Carolina,94,94,41,Every 3 Months,Paypal,Accessories,Handbag,Fall,M,Gray,Free Shipping,Platinum,1.0,Discount Dependent,High,High,1,1,1,Yes,Yes,4.4,Yes,Promo Market,60.79,0.45,Retention Category,59.84,0.44
30,31,Male,Wyoming,48,48,14,Weekly,Credit Card,Clothing,Dress,Fall,S,Black,Store Pickup,Silver,1.0,Discount Dependent,High,Medium,1,1,1,Yes,Yes,4.1,Yes,Golden Market,60.69,0.42,Entry Category,60.03,0.42
31,57,Male,North Carolina,31,31,16,Monthly,Credit Card,Accessories,Jewelry,Winter,L,Black,Standard,Bronze,1.0,Discount Dependent,High,Medium,1,1,1,Yes,Yes,4.7,Yes,Promo Market,60.79,0.45,Retention Category,59.84,0.44
32,33,Male,West Virginia,79,79,45,Monthly,Venmo,Clothing,Dress,Winter,L,Brown,Store Pickup,Gold,1.0,Discount Dependent,High,High,1,1,1,Yes,Yes,4.7,Yes,Promo Market,63.88,0.49,Entry Category,60.03,0.42
33,36,Male,Kansas,67,67,37,Annually,Venmo,Outerwear,Jacket,Summer,M,Silver,Free Shipping,Gold,1.0,Discount Dependent,High,Medium,1,1,1,Yes,Yes,4.9,Yes,Growth Market,54.56,0.24,Entry Category,57.17,0.44
34,54,Male,Colorado,38,38,45,Quarterly,Cash,Clothing,Pants,Summer,L,Green,Store Pickup,Bronze,1.0,Discount Dependent,Low,High,1,1,1,Yes,Yes,3.3,Yes,Growth Market,56.29,0.41,Entry Category,60.03,0.42
35,36,Male,North Dakota,91,91,38,Quarterly,Paypal,Clothing,T-Shirt,Spring,L,Violet,2-Day Shipping,Platinum,1.0,Discount Dependent,High,Medium,1,1,1,Yes,Yes,4.6,Yes,Promo Market,62.89,0.46,Entry Category,60.03,0.42
36,54,Male,Massachusetts,33,33,48,Bi-Weekly,Credit Card,Clothing,Blouse,Summer,M,Cyan,2-Day Shipping,Bronze,1.0,Discount Dependent,High,High,1,1,1,Yes,Yes,4.0,Yes,Promo Market,60.89,0.49,Entry Category,60.03,0.42
37,35,Male,Illinois,69,69,44,Fortnightly,Paypal,Clothing,T-Shirt,Winter,M,Maroon,Free Shipping,Gold,1.0,Discount Dependent,High,High,1,1,1,Yes,Yes,4.6,Yes,Golden Market,61.05,0.4,Entry Category,60.03,0.42
38,35,Male,Indiana,45,45,10,Weekly,Paypal,Clothing,Jeans,Summer,S,Cyan,Store Pickup,Silver,1.0,Discount Dependent,Low,Low,1,1,1,Yes,Yes,2.8,Yes,Low Priority,58.92,0.57,Entry Category,60.03,0.42
39,29,Male,Florida,37,37,44,Every 3 Months,Venmo,Clothing,Dress,Winter,M,Red,2-Day Shipping,Bronze,1.0,Discount Dependent,High,High,1,1,1,Yes,Yes,3.8,Yes,Low Priority,55.85,0.46,Entry Category,60.03,0.42
40,70,Male,Arizona,60,60,18,Monthly,Credit Card,Clothing,Pants,Summer,S,Turquoise,Express,Silver,1.0,Discount Dependent,High,Medium,1,1,1,Yes,Yes,4.2,Yes,Golden Market,66.55,0.34,Entry Category,60.03,0.42
41,69,Male,Louisiana,76,76,31,Quarterly,Debit Card,Accessories,Handbag,Winter,L,Beige,Next Day Air,Gold,1.0,Discount Dependent,High,Medium,1,1,1,Yes,Yes,4.6,Yes,Growth Market,57.71,0.42,Retention Category,59.84,0.44
42,67,Male,Alaska,39,39,40,Annually,Venmo,Accessories,Scarf,Spring,M,Orange,Standard,Bronze,1.0,Discount Dependent,High,High,1,1,1,Yes,Yes,4.5,Yes,Golden Market,67.6,0.4,Retention Category,59.84,0.44
43,20,Male,Tennessee,100,100,15,Annually,Paypal,Outerwear,Coat,Spring,M,Beige,Free Shipping,Platinum,1.0,Discount Dependent,High,Medium,1,1,1,Yes,Yes,4.1,Yes,Golden Market,61.97,0.36,Entry Category,57.17,0.44
44,25,Male,Ohio,69,69,19,Fortnightly,Paypal,Accessories,Scarf,Fall,L,Lavender,Store Pickup,Gold,1.0,Discount Dependent,Low,Medium,1,1,1,Yes,Yes,3.7,Yes,Promo Market,60.38,0.44,Retention Category,59.84,0.44
45,39,Male,Kentucky,53,53,45,Weekly,Paypal,Accessories,Hat,Summer,S,Silver,Free Shipping,Silver,1.0,Discount Dependent,High,High,1,1,1,Yes,Yes,4.6,Yes,Low Priority,55.72,0.43,Retention Category,59.84,0.44
46,50,Male,Tennessee,21,21,25,Annually,Paypal,Clothing,Socks,Fall,XL,Indigo,2-Day Shipping,Bronze,1.0,Discount Dependent,Low,Medium,1,1,1,Yes,Yes,2.9,Yes,Golden Market,61.97,0.36,Entry Category,60.03,0.42
47,57,Male,California,43,43,45,Quarterly,Cash,Clothing,Shirt,Summer,L,White,Store Pickup,Silver,1.0,Discount Dependent,Low,High,1,1,1,Yes,Yes,2.9,Yes,Growth Market,59.0,0.42,Entry Category,60.03,0.42
48,55,Male,Montana,54,54,36,Weekly,Cash,Accessories,Jewelry,Winter,M,Charcoal,Free Shipping,Silver,1.0,Discount Dependent,High,Medium,1,1,1,Yes,Yes,4.5,Yes,Golden Market,60.25,0.38,Retention Category,59.84,0.44
49,42,Male,Nevada,55,55,38,Monthly,Cash,Clothing,Shirt,Summer,M,Orange,Store Pickup,Silver,1.0,Discount Dependent,Low,Medium,1,1,1,Yes,Yes,2.7,Yes,Promo Market,63.38,0.47,Entry Category,60.03,0.42
50,68,Male,New Jersey,30,30,34,Bi-Weekly,Debit Card,Clothing,Hoodie,Spring,S,Indigo,Next Day Air,Bronze,1.0,Discount Dependent,High,Medium,1,1,1,Yes,Yes,4.6,Yes,Growth Market,56.75,0.4,Entry Category,60.03,0.42
51,49,Male,Maryland,28,28,39,Bi-Weekly,Debit Card,Clothing,Blouse,Spring,M,Red,Store Pickup,Bronze,1.0,Discount Dependent,High,High,1,1,1,Yes,Yes,3.8,Yes,Low Priority,55.76,0.44,Entry Category,60.03,0.42
52,59,Male,Vermont,59,59,7,Quarterly,Credit Card,Clothing,Skirt,Winter,XL,Gray,2-Day Shipping,Silver,1.0,Discount Dependent,High,Low,1,1,1,Yes,Yes,4.7,Yes,Growth Market,57.18,0.39,Entry Category,60.03,0.42
53,42,Male,Alaska,20,20,26,Weekly,Credit Card,Clothing,T-Shirt,Summer,M,Green,Free Shipping,Bronze,1.0,Discount Dependent,Low,Medium,1,1,1,Yes,Yes,2.6,Yes,Golden Market,67.6,0.4,Entry Category,60.03,0.42
54,29,Male,Mississippi,24,24,35,Weekly,Credit Card,Clothing,Skirt,Winter,S,Peach,Next Day Air,Bronze,1.0,Discount Dependent,High,Medium,1,1,1,Yes,Yes,3.9,Yes,Promo Market,61.04,0.48,Entry Category,60.03,0.42
55,47,Male,New Mexico,94,94,35,Bi-Weekly,Debit Card,Outerwear,Coat,Summer,M,Brown,Next Day Air,Platinum,1.0,Discount Dependent,High,Medium,1,1,1,Yes,Yes,4.2,Yes,Promo Market,61.9,0.44,Entry Category,57.17,0.44
56,40,Male,South Carolina,28,28,49,Annually,Credit Card,Outerwear,Jacket,Winter,M,Lavender,2-Day Shipping,Bronze,1.0,Discount Dependent,Low,High,1,1,1,Yes,Yes,3.0,Yes,Low Priority,58.41,0.5,Entry Category,57.17,0.44
57,41,Male,Mississippi,73,73,46,Weekly,Credit Card,Accessories,Backpack,Summer,XL,Brown,Store Pickup,Gold,1.0,Discount Dependent,High,High,1,1,1,Yes,Yes,4.7,Yes,Promo Market,61.04,0.48,Retention Category,59.84,0.44
58,21,Male,West Virginia,64,64,17,Fortnightly,Debit Card,Outerwear,Coat,Summer,M,White,Store Pickup,Gold,1.0,Discount Dependent,High,Medium,1,1,1,Yes,Yes,4.4,Yes,Promo Market,63.88,0.49,Entry Category,57.17,0.44
59,69,Male,Missouri,54,54,29,Monthly,Venmo,Clothing,Hoodie,Summer,M,Charcoal,Free Shipping,Silver,1.0,Discount Dependent,High,Medium,1,1,1,Yes,Yes,4.2,Yes,Low Priority,57.91,0.49,Entry Category,60.03,0.42
60,63,Male,Louisiana,79,79,4,Weekly,Debit Card,Accessories,Belt,Spring,L,Yellow,Standard,Gold,1.0,Discount Dependent,High,Low,1,1,1,Yes,Yes,4.6,Yes,Growth Market,57.71,0.42,Retention Category,59.84,0.44
61,50,Male,Idaho,37,37,17,Weekly,Cash,Clothing,Sweater,Summer,L,Brown,Express,Bronze,1.0,Discount Dependent,High,Medium,1,1,1,Yes,Yes,4.0,Yes,Golden Market,60.08,0.41,Entry Category,60.03,0.42
62,55,Male,Texas,68,68,21,Every 3 Months,Credit Card,Accessories,Scarf,Winter,M,Orange,Store Pickup,Gold,1.0,Discount Dependent,High,Medium,1,1,1,Yes,Yes,4.7,Yes,Golden Market,61.19,0.36,Retention Category,59.84,0.44
63,30,Male,Mississippi,21,21,31,Fortnightly,Credit Card,Footwear,Sneakers,Spring,S,Magenta,Free Shipping,Bronze,1.0,Discount Dependent,High,Medium,1,1,1,Yes,Yes,3.8,Yes,Promo Market,61.04,0.48,Entry Category,60.26,0.43
64,33,Male,Arizona,79,79,43,Weekly,Credit Card,Accessories,Sunglasses,Winter,L,Lavender,2-Day Shipping,Gold,1.0,Discount Dependent,Low,High,1,1,1,Yes,Yes,2.7,Yes,Golden Market,66.55,0.34,Retention Category,59.84,0.44
65,65,Male,Alabama,83,83,18,Fortnightly,Debit Card,Footwear,Boots,Fall,S,Green,Standard,Platinum,1.0,Discount Dependent,High,Medium,1,1,1,Yes,Yes,4.8,Yes,Growth Market,59.11,0.4,Entry Category,60.26,0.43
66,65,Male,New Jersey,36,36,44,Every 3 Months,Venmo,Accessories,Backpack,Spring,M,Purple,2-Day Shipping,Bronze,1.0,Discount Dependent,High,High,1,1,1,Yes,Yes,4.8,Yes,Growth Market,56.75,0.4,Retention Category,59.84,0.44
67,31,Male,Pennsylvania,94,94,3,Every 3 Months,Venmo,Clothing,Blouse,Winter,S,Magenta,2-Day Shipping,Platinum,1.0,Discount Dependent,High,Low,1,1,1,Yes,Yes,4.7,Yes,Promo Market,66.57,0.45,Entry Category,60.03,0.42
68,45,Male,Connecticut,33,33,49,Monthly,Debit Card,Outerwear,Coat,Winter,L,Gray,Store Pickup,Bronze,1.0,Discount Dependent,High,High,1,1,1,Yes,Yes,4.4,Yes,Growth Market,54.18,0.33,Entry Category,57.17,0.44
69,57,Male,Utah,46,46,21,Every 3 Months,Cash,Accessories,Handbag,Summer,L,Silver,Next Day Air,Silver,1.0,Discount Dependent,High,Medium,1,1,1,Yes,Yes,3.9,Yes,Promo Market,62.58,0.46,Retention Category,59.84,0.44
70,48,Male,Tennessee,70,70,5,Weekly,Cash,Accessories,Belt,Summer,S,Cyan,Express,Gold,1.0,Discount Dependent,High,Low,1,1,1,Yes,Yes,4.4,Yes,Golden Market,61.97,0.36,Retention Category,59.84,0.44
71,22,Male,Alabama,29,29,32,Every 3 Months,Debit Card,Accessories,Belt,Fall,M,Magenta,Express,Bronze,1.0,Discount Dependent,High,Medium,1,1,1,Yes,Yes,4.2,Yes,Growth Market,59.11,0.4,Retention Category,59.84,0.44
72,36,Male,Virginia,48,48,34,Annually,Bank Transfer,Clothing,Dress,Summer,L,Gold,Express,Silver,1.0,Discount Dependent,Low,Medium,1,1,1,Yes,Yes,2.9,Yes,Golden Market,62.88,0.38,Entry Category,60.03,0.42
73,18,Male,Georgia,26,26,21,Every 3 Months,Bank Transfer,Clothing,Dress,Winter,M,Olive,Store Pickup,Bronze,1.0,Discount Dependent,Low,Medium,1,1,1,Yes,Yes,2.9,Yes,Growth Market,58.8,0.41,Entry Category,60.03,0.42
74,48,Male,Hawaii,85,85,43,Bi-Weekly,Bank Transfer,Clothing,Pants,Spring,M,Teal,Free Shipping,Platinum,1.0,Discount Dependent,Low,High,1,1,1,Yes,Yes,2.7,Yes,Low Priority,57.72,0.49,Entry Category,60.03,0.42
75,49,Male,Indiana,58,58,3,Monthly,Cash,Accessories,Gloves,Spring,L,Violet,Express,Silver,1.0,Discount Dependent,High,Low,1,1,1,Yes,Yes,4.5,Yes,Low Priority,58.92,0.57,Retention Category,59.84,0.44
76,64,Male,Utah,85,85,21,Annually,Credit Card,Accessories,Scarf,Summer,M,Blue,Free Shipping,Platinum,1.0,Discount Dependent,Low,Medium,1,1,1,Yes,Yes,2.7,Yes,Promo Market,62.58,0.46,Retention Category,59.84,0.44
77,50,Male,Delaware,43,43,32,Monthly,Venmo,Accessories,Hat,Summer,S,Teal,Free Shipping,Silver,1.0,Discount Dependent,High,Medium,1,1,1,Yes,Yes,4.2,Yes,Low Priority,55.33,0.45,Retention Category,59.84,0.44
78,22,Male,Delaware,53,53,36,Fortnightly,Debit Card,Clothing,Dress,Summer,L,Gold,Next Day Air,Silver,1.0,Discount Dependent,Low,Medium,1,1,1,Yes,Yes,3.3,Yes,Low Priority,55.33,0.45,Entry Category,60.03,0.42
79,50,Male,Nebraska,91,91,50,Fortnightly,Venmo,Clothing,Skirt,Spring,M,Maroon,Free Shipping,Platinum,1.0,Discount Dependent,High,High,1,1,1,Yes,Yes,4.7,Yes,Low Priority,59.45,0.43,Entry Category,60.03,0.42
80,38,Male,Iowa,96,96,43,Every 3 Months,Bank Transfer,Outerwear,Jacket,Winter,M,Olive,2-Day Shipping,Platinum,1.0,Discount Dependent,Low,High,1,1,1,Yes,Yes,2.6,Yes,Promo Market,60.88,0.52,Entry Category,57.17,0.44
81,19,Male,New York,72,72,24,Every 3 Months,Credit Card,Footwear,Sandals,Summer,XL,Blue,Store Pickup,Gold,1.0,Discount Dependent,High,Medium,1,1,1,Yes,Yes,3.8,Yes,Golden Market,60.43,0.41,Entry Category,60.26,0.43
82,67,Male,Virginia,96,96,36,Every 3 Months,Credit Card,Footwear,Shoes,Summer,L,Maroon,Express,Platinum,1.0,Discount Dependent,Low,Medium,1,1,1,Yes,Yes,2.6,Yes,Golden Market,62.88,0.38,Entry Category,60.26,0.43
83,19,Male,Georgia,28,28,21,Every 3 Months,Credit Card,Clothing,Pants,Spring,S,Olive,2-Day Shipping,Bronze,1.0,Discount Dependent,High,Medium,1,1,1,Yes,Yes,4.0,Yes,Growth Market,58.8,0.41,Entry Category,60.03,0.42
84,36,Male,Texas,40,40,34,Weekly,Bank Transfer,Clothing,Dress,Summer,M,Turquoise,Standard,Silver,1.0,Discount Dependent,High,Medium,1,1,1,Yes,Yes,4.1,Yes,Golden Market,61.19,0.36,Entry Category,60.03,0.42
85,52,Male,Arizona,32,32,42,Every 3 Months,Bank Transfer,Outerwear,Coat,Spring,S,Peach,Standard,Bronze,1.0,Discount Dependent,High,High,1,1,1,Yes,Yes,4.4,Yes,Golden Market,66.55,0.34,Entry Category,57.17,0.44
86,53,Male,New Mexico,95,95,2,Bi-Weekly,Debit Card,Accessories,Sunglasses,Winter,M,Charcoal,Next Day Air,Platinum,1.0,Discount Dependent,High,Low,1,1,1,Yes,Yes,4.5,Yes,Promo Market,61.9,0.44,Retention Category,59.84,0.44
87,24,Male,Nevada,41,41,47,Bi-Weekly,Cash,Clothing,Hoodie,Spring,L,Pink,2-Day Shipping,Silver,1.0,Discount Dependent,Low,High,1,1,1,Yes,Yes,3.7,Yes,Promo Market,63.38,0.47,Entry Category,60.03,0.42
88,52,Male,Ohio,53,53,44,Fortnightly,Debit Card,Footwear,Shoes,Fall,M,Green,2-Day Shipping,Silver,1.0,Discount Dependent,Low,High,1,1,1,Yes,Yes,3.7,Yes,Promo Market,60.38,0.44,Entry Category,60.26,0.43
89,33,Male,Wyoming,47,47,35,Monthly,Credit Card,Clothing,T-Shirt,Fall,M,Orange,Free Shipping,Silver,1.0,Discount Dependent,Low,Medium,1,1,1,Yes,Yes,3.5,Yes,Golden Market,60.69,0.42,Entry Category,60.03,0.42
90,47,Male,California,83,83,15,Quarterly,Cash,Outerwear,Jacket,Fall,XL,Pink,Next Day Air,Platinum,1.0,Discount Dependent,Low,Medium,1,1,1,Yes,Yes,3.6,Yes,Growth Market,59.0,0.42,Entry Category,57.17,0.44
91,25,Male,South Carolina,48,48,29,Monthly,Credit Card,Accessories,Hat,Summer,L,Violet,Express,Silver,1.0,Discount Dependent,Low,Medium,1,1,1,Yes,Yes,2.9,Yes,Low Priority,58.41,0.5,Retention Category,59.84,0.44
92,44,Male,South Carolina,99,99,18,Every 3 Months,Credit Card,Accessories,Scarf,Winter,S,Green,Standard,Platinum,1.0,Discount Dependent,High,Medium,1,1,1,Yes,Yes,4.6,Yes,Low Priority,58.41,0.5,Retention Category,59.84,0.44
93,61,Male,Texas,87,87,13,Every 3 Months,Venmo,Outerwear,Jacket,Winter,M,Olive,2-Day Shipping,Platinum,1.0,Discount Dependent,High,Low,1,1,1,Yes,Yes,4.4,Yes,Golden Market,61.19,0.36,Entry Category,57.17,0.44
94,37,Male,Florida,62,62,46,Weekly,Credit Card,Clothing,Sweater,Fall,M,Purple,Standard,Gold,1.0,Discount Dependent,High,High,1,1,1,Yes,Yes,4.5,Yes,Low Priority,55.85,0.46,Entry Category,60.03,0.42
95,58,Male,Nevada,76,76,28,Weekly,Credit Card,Clothing,Skirt,Spring,S,Silver,Free Shipping,Gold,1.0,Discount Dependent,High,Medium,1,1,1,Yes,Yes,4.6,Yes,Promo Market,63.38,0.47,Entry Category,60.03,0.42
96,37,Male,Missouri,100,100,48,Monthly,Paypal,Footwear,Sneakers,Fall,L,Pink,Free Shipping,Platinum,1.0,Discount Dependent,High,High,1,1,1,Yes,Yes,3.8,Yes,Low Priority,57.91,0.49,Entry Category,60.26,0.43
97,32,Male,Delaware,73,73,43,Every 3 Months,Venmo,Accessories,Gloves,Spring,S,Gold,Express,Gold,1.0,Discount Dependent,High,High,1,1,1,Yes,Yes,3.8,Yes,Low Priority,55.33,0.45,Retention Category,59.84,0.44
98,21,Male,Virginia,92,92,37,Annually,Cash,Footwear,Shoes,Winter,M,Teal,Store Pickup,Platinum,1.0,Discount Dependent,High,Medium,1,1,1,Yes,Yes,4.8,Yes,Golden Market,62.88,0.38,Entry Category,60.26,0.43
99,20,Male,New York,67,67,20,Annually,Bank Transfer,Clothing,Jeans,Spring,XL,Teal,Next Day Air,Gold,1.0,Discount Dependent,Low,Medium,1,1,1,Yes,Yes,2.6,Yes,Golden Market,60.43,0.41,Entry Category,60.03,0.42
100,26,Male,Missouri,40,40,33,Quarterly,Debit Card,Clothing,Hoodie,Summer,XL,Indigo,Express,Silver,1.0,Discount Dependent,Low,Medium,1,1,1,Yes,Yes,3.7,Yes,Low Priority,57.91,0.49,Entry Category,60.03,0.42
101,62,Male,South Dakota,98,98,31,Fortnightly,Cash,Accessories,Sunglasses,Fall,M,Maroon,Express,Platinum,1.0,Discount Dependent,Low,Medium,1,1,1,Yes,Yes,2.7,Yes,Golden Market,60.51,0.37,Retention Category,59.84,0.44
102,27,Male,North Dakota,85,85,50,Bi-Weekly,Credit Card,Outerwear,Coat,Spring,XL,White,Express,Platinum,1.0,Discount Dependent,High,High,1,1,1,Yes,Yes,4.6,Yes,Promo Market,62.89,0.46,Entry Category,57.17,0.44
103,51,Male,Oklahoma,67,67,35,Quarterly,Credit Card,Clothing,Socks,Winter,L,Violet,Next Day Air,Gold,1.0,Discount Dependent,High,Medium,1,1,1,Yes,Yes,4.8,Yes,Low Priority,58.35,0.48,Entry Category,60.03,0.42
104,54,Male,West Virginia,89,89,22,Bi-Weekly,Venmo,Footwear,Boots,Winter,L,Red,Next Day Air,Platinum,1.0,Discount Dependent,High,Medium,1,1,1,Yes,Yes,4.0,Yes,Promo Market,63.88,0.49,Entry Category,60.26,0.43
105,55,Male,New Hampshire,24,24,1,Monthly,Paypal,Accessories,Sunglasses,Spring,L,Pink,2-Day Shipping,Bronze,1.0,Discount Dependent,High,Low,1,1,1,Yes,Yes,4.4,Yes,Low Priority,59.42,0.44,Retention Category,59.84,0.44
